Estimator,relationship,Relatedness_Value,,,,
QGM,Unrelated,-0.0419,0,,,
QGM,Unrelated,0.0246,0,,,
QGM,Unrelated,0.1541,0,,,
QGM,Unrelated,-0.1015,0,,,
QGM,Unrelated,0.1907,0,,,
QGM,Unrelated,-0.2949,0,,,
QGM,Unrelated,0.1255,0,,,
QGM,Unrelated,-0.148,0,,,
QGM,Unrelated,-0.1904,0,,,
QGM,Unrelated,-0.1659,0,,,
QGM,Unrelated,-0.2289,0,,,
QGM,Unrelated,0.0438,0,,,
QGM,Unrelated,-0.1585,0,,,
QGM,Unrelated,0.2302,0,,,
QGM,Unrelated,-0.1089,0,,,
QGM,Unrelated,-0.1676,0,,,
QGM,Unrelated,-0.0374,0,,,
QGM,Unrelated,0.0344,0,,,
QGM,Unrelated,0.0702,0,,,
QGM,Unrelated,0.0808,0,,,
QGM,Unrelated,0.0498,0,,,
QGM,Unrelated,-0.1896,0,,,
QGM,Unrelated,-0.2623,0,,,
QGM,Unrelated,-0.1997,0,,,
QGM,Unrelated,-0.256,0,,,
QGM,Unrelated,0.2228,0,,,
QGM,Unrelated,0.0368,0,,,
QGM,Unrelated,-0.249,0,,,
QGM,Unrelated,-0.0245,0,,,
QGM,Unrelated,-0.1015,0,,,
QGM,Unrelated,0.0195,0,,,
QGM,Unrelated,0.0693,0,,,
QGM,Unrelated,0.0268,0,,,
QGM,Unrelated,0.1776,0,,,
QGM,Unrelated,0.1094,0,,,
QGM,Unrelated,0.2556,0,,,
QGM,Unrelated,0.4211,0,,,
QGM,Unrelated,0.0385,0,,,
QGM,Unrelated,-0.0209,0,,,
QGM,Unrelated,0.1083,0,,,
QGM,Unrelated,0.1323,0,,,
QGM,Unrelated,0.1298,0,,,
QGM,Unrelated,-0.0584,0,,,
QGM,Unrelated,-0.1495,0,,,
QGM,Unrelated,0.1159,0,,,
QGM,Unrelated,0.077,0,,,
QGM,Unrelated,-0.075,0,,,
QGM,Unrelated,0.0504,0,,,
QGM,Unrelated,-0.1014,0,,,
QGM,Unrelated,0.126,0,,,
QGM,Unrelated,0.0817,0,,,
QGM,Unrelated,-0.0025,0,,,
QGM,Unrelated,0.0089,0,,,
QGM,Unrelated,-0.0304,0,,,
QGM,Unrelated,0.2064,0,,,
QGM,Unrelated,-0.1046,0,,,
QGM,Unrelated,0.0315,0,,,
QGM,Unrelated,0.074,0,,,
QGM,Unrelated,0.2144,0,,,
QGM,Unrelated,0.1585,0,,,
QGM,Unrelated,-0.1794,0,,,
QGM,Unrelated,-0.1197,0,,,
QGM,Unrelated,-0.2145,0,,,
QGM,Unrelated,-0.0197,0,,,
QGM,Unrelated,0.1102,0,,,
QGM,Unrelated,0.1505,0,,,
QGM,Unrelated,-0.0919,0,,,
QGM,Unrelated,-0.0218,0,,,
QGM,Unrelated,0.2051,0,,,
QGM,Unrelated,0.0043,0,,,
QGM,Unrelated,-0.0371,0,,,
QGM,Unrelated,-0.1301,0,,,
QGM,Unrelated,0.0541,0,,,
